"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","DASF","FMTM","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDFG","WESD","WESF","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01","WV03"
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-15",,,,,,,,"0.00",,"0.0","0.0",,"74","42","46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-16",,,,,,,,"0.00",,"0.0","0.0",,"65","38","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-17",,,,,,,,"0.01",,"0.0","0.0",,"62","39","39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-18",,,,,,,,"3.50",,"10.0","10.0",,"44","28","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-19",,,,,,,,"1.96",,"24.0","38.0",,"34","29","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-20",,,,,,,,"0.08",,"0.5","33.0",,"35","29","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-21",,,,,,,,"0.34",,"1.2","20.0",,"44","30","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-22",,,,,,,,"0.00",,"0.0","13.0",,"48","40","42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-23",,,,,,,,"0.00",,"0.0","12.0",,"49","34","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-25",,,,,,,,"0.42",,"0.5","8.0",,"45","26","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-26",,,,,,,,"0.00",,"0.0","0.0",,"53","32","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-27",,,,,,,,"0.00",,"0.0","2.0",,"64","28","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-28",,,,,,,,"0.10",,"1.0","3.0",,"36","18","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-29",,,,,,,,,,,"2.0",,"52","21","36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-30",,,,,,,,"0.00",,"0.0","1.0",,"38","20","34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-03-31",,,,,,,,"0.00",,"0.0","0.0",,"56","36","54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USC00054762","LAKEWOOD, CO US","39.7488","-105.1205","1719.1","2003-04-01",,,,,,,,"0.00",,"0.0","0.0",,"67","43","51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-02-28",,,,,,,,"0.16",,"4.0","4.0",,,,,,,,,,"0.2",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-01",,,,,,,,"0.09",,"1.0","4.0",,,,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-02",,,,,,,,"0.32",,"7.9","10.5",,,,,,,,,,"0.4",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-03",,,,,,,,"0.00",,"0.0","4.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-04",,,,,,,,"0.00",,"0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-05",,,,,,,,"0.02",,"0.2","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-06",,,,,,,,"0.00",,"0.0","0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-07",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-08",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-09",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-10",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-11",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-12",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-13",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-14",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-15",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-16",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-17",,,,,,,,"0.04",,"0.2","0.0",,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-18",,,,,,,,"1.83",,"19.0","18.0",,,,,,,,,,"1.8",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-19",,,,,,,,"3.47",,"34.8",,,,,,,,,,,"3.5",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-20",,,,,,,,"0.85",,"7.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-21",,,,,,,,"0.31",,"3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-22",,,,,,,,"0.03",,"0.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-23",,,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-24",,,,,,,,"0.00",,"0.0","27.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-25",,,,,,,,"0.07",,"0.2","26.5",,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-26",,,,,,,,"0.00",,"0.0","22.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-27",,,,,,,,"0.03",,"0.3","15.0",,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-28",,,,,,,,"0.25",,"6.6","20.0",,,,,,,,,,"0.3",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-29",,,,,,,,"0.00",,"0.0","14.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-30",,,,,,,,"0.01",,"0.1","14.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-03-31",,,,,,,,"0.00",,"0.0","12.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0089","EVERGREEN 4.0 SW, CO US","39.5826","-105.3712","2491.1","2003-04-01",,,,,,,,"0.00",,"0.0","8.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-16",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-17",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-18",,,,,,,,"1.40",,"7.3","7.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-19",,,,,,,,"2.52",,"23.9","28.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-20",,,,,,,,"0.40",,"2.9","26.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-21",,,,,,,,"0.10",,"1.0","21.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-22",,,,,,,,"0.00",,"0.0","14.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-23",,,,,,,,"0.00",,"0.0","11.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-24",,,,,,,,"0.00",,"0.0","5.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-25",,,,,,,,"0.08",,"0.7","6.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-26",,,,,,,,"0.00",,"0.0","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-27",,,,,,,,"0.00",,"0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-28",,,,,,,,"0.13",,"2.1","3.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-29",,,,,,,,"0.00",,"0.0","1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-30",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-03-31",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0121","WHEATRIDGE 0.3 SE, CO US","39.7639","-105.073","1665.1","2003-04-01",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-02-28",,,,,,,,"0.06",,"1.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-01",,,,,,,,"0.08",,"1.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-02",,,,,,,,"0.33",,"10.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-03",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-04",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-05",,,,,,,,"0.08",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-06",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-07",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-08",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-09",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-10",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-11",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-12",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-13",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-14",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-15",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-16",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-17",,,,,,,,"0.01",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-18",,,,,,,,"1.57",,"18.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-19",,,,,,,,"4.48",,"40.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-20",,,,,,,,"1.06",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-21",,,,,,,,"0.25",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-22",,,,,,,,"0.00",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-23",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-24",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-25",,,,,,,,"0.04",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-26",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-27",,,,,,,,"0.02",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-28",,,,,,,,"0.44",,"5.5","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-29",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-30",,,,,,,,"0.02",,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-03-31",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0087","CONIFER 1.0 N, CO US","39.5356","-105.3058","2510.9","2003-04-01",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0048","DENVER 9.9 W, CO US","39.735","-105.1806","1769.1","2003-03-30",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0048","DENVER 9.9 W, CO US","39.735","-105.1806","1769.1","2003-03-31",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0048","DENVER 9.9 W, CO US","39.735","-105.1806","1769.1","2003-04-01",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-02-28",,,,,,,,"0.06",,"0.8","0.0",,,,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-01",,,,,,,,"0.04",,"0.3","0.0",,,,,,,,,,"0.0",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-02",,,,,,,,"0.59",,"13.2","0.0",,,,,,,,,,"0.6",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-03",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-04",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-05",,,,,,,,"0.14",,"3.9","0.0",,,,,,,,,,"0.1",,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-06",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-07",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US1COJF0124","MORRISON 8.7 SSW, CO US","39.5289","-105.2244","2475.0","2003-03-08",,,,,,,,"0.00",,"0.0","0.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
